field_trial_id,Treatment 1,Grain yield (t/ha).12
9176077,Kaspa Field Pea,0.74
9176077,Jurien Lupin,0.69
9176077,Bolt Lentil,0.5
9176077,Samira Faba Beans,0.29
9176077,Kaspa Field Pea,3.232
9176077,Jurien Lupin,3.17
9176077,Bolt Lentil,3.14
9176077,Samira Faba Beans,3.3
