field_trial_id,Treatment 1,NDVI (.).3
9176109,Dpeth Charger,0.67
9176109,Moulboard,0.42
9176109,Nil,0.56
9176109,Terraland Ripper,0.7
9176109,Dpeth Charger,0.63
9176109,Moulboard,0.57
9176109,Nil,0.27
9176109,Terraland Ripper,0.67
9176109,Dpeth Charger,0.17
9176109,Moulboard,0.38
9176109,Nil,0.42
9176109,Terraland Ripper,0.42
