field_trial_id,Treatment 1,NDVI (.).3
9176156,Cowpea Ebony,0.7
9176156,Millett Shirohie,0.7
9176156,Sorghum Sprint,0.62
9176156,Canola Hyola 970,0.57
9176156,Control wheat stubble,0.61
