field_trial_id,Treatment 1,Soil loosening depth (cm).2
9176109,Scarifier,25.7333
9176109,Tilco 40cm,38.1667
9176109,Depthcharger 40cm,38.0667
9176109,Tilco 65cm,48.0
9176109,Control,20.8
9176109,Depth charger 50cm,44.7667
