field_trial_id,Treatment 1,Grain yield (t/ha)
9176156,Cowpea Ebony,8.15
9176156,Millett Shirohie,7.3
9176156,Sorghum Sprint,7.38
9176156,Canola Hyola 970,6.91
9176156,Control wheat stubble,7.38
