field_trial_id,Treatment 1,Snails density/L  of grain (Snails/L).1
SCF_P30 Coggo Snails,Cabling Manual Count,5.86
SCF_P30 Coggo Snails,Crunching Manual Count,7.76
SCF_P30 Coggo Snails,Speed-till Manual Count,9.0
SCF_P30 Coggo Snails,UTC Manual Count,7.1
SCF_P30 Coggo Snails,Cabling GrainCam,14.2
SCF_P30 Coggo Snails,Crunching GrainCam,18.3
SCF_P30 Coggo Snails,Speed-till GrainCam,13.86
SCF_P30 Coggo Snails,UTC GrainCam,15.25
