field_trial_id,Treatment 1,Grain yield (t/ha).12,Barley Price (S/t).1,Revenue 2019 ($/ha).4,Revenue 2018 ($/ha).1,Total Revenue ($/ha).1
9176077,Lentils,3.14,285.0,894.19,267.0,1161.19
9176077,Field Peas,3.32,285.0,946.91,417.0,1363.91
9176077,Lupins,3.17,285.0,904.16,243.0,1147.16
9176077,Faba Beans,3.3,285.0,939.79,289.0,1225.79
