field_trial_id,Treatment 1,Grain yield (t/ha).12
9176077,Samira Faba Bean,4.68
9176077,Jurien Lupin,4.67
9176077,Bolt Lentil,4.77
9176077,Striker Chickpea,4.63
9176077,Field Peas,4.86
