field_trial_id,Treatment 1,Grain yield (t/ha).2
9178044,Undrained,2.21
9178044,Drained - GRDC Main Location,3.2
9178044,Drained - Second Location,3.29
9178044,Non Waterlogging - Medium Performing Soil,3.7
9178044,Non Waterlogging - High Performing Soil,5.99
9178044,Undrained,1.74
9178044,Drained - GRDC Main Location,2.97
9178044,Drained - Second Location,3.02
9178044,Non Waterlogging - High Performing Soil,4.19
