field_trial_id,Table number,Treatment 1,Hectolitre weight (kg/hL),Plant density (plants/m2).3,Protein (%).1,Screenings (%),Soil nitrate (mg/kg),Grain yield (t/ha).12,Moisture (%).1,NDVI (.).1,Barley Price (S/t).1,Plant count (square meter),Wheat Price ($/t),Revenue 2019 ($/ha).4,Revenue 2018 ($/ha).1,Total Revenue ($/ha).1,Comparison to Control ($/ha),Price ($/t).1,Ammonium Nitrate (mg/kg),Combined profit ($/ha).2
9176077,14,Control,,,,,1.0,,,,,,,,,,,,4.0,
9176077,15,Faba Bean,,17.7,,,,,,,,,,,,,,,,
9176077,15,Lentils,,62.7,,,,,,,,,,,,,,,,
9176077,15,Field Pea,,24.5,,,,,,,,,,,,,,,,
9176077,15,chickpeas,,8.9,,,,,,,,,,,,,,,,
9176077,16,"Faba
  Beans ",,,,,,,,0.23,,,,,,,,,,
9176077,16,Lentils,,,,,,,,0.2,,,,,,,,,,
9176077,16,Field Pea,,,,,,,,0.26,,,,,,,,,,
9176077,16,chickpeas,,,,,,,,0.21,,,,,,,,,,
9176077,16,Faba Beans (2),,,,,,,,0.24,,,,,,,,,,
9176077,16,Field Pea (2),,,,,,,,0.24,,,,,,,,,,
9176077,16,chickpeas (2),,,,,,,,0.22,,,,,,,,,,
9176077,16,Lentils (2),,,,,,,,0.25,,,,,,,,,,
9176077,16,Faba Beans (3),,,,,,,,0.27,,,,,,,,,,
9176077,17,"Jurien
  Lupin",,,,,,,,,,56.0,,,,,,,,
9176077,17,Striker Chickpeas,,,,,,,,,,31.0,,,,,,,,
9176077,17,Samira Faba Bean,,,,,,,,,,23.0,,,,,,,,
9176077,17,Bolt Lentil,,,,,,,,,,112.0,,,,,,,,
9176077,18,Canola (Control),,24.75,,,,,,,,,,,,,,,,
9176077,18,Faba Beans,,28.75,,,,,,,,,,,,,,,,
9176077,18,Lupins,,20.8,,,,,,,,,,,,,,,,
9176077,18,Field Peas,,30.1,,,,,,,,,,,,,,,,
9176077,18,Lentils,,59.3,,,,,,,,,,,,,,,,
9176077,19,Faba Beans,,,22.6,,,,11.0,,,,,,,,,,,
9176077,19,Field Peas,,,23.0,,,,10.4,,,,,,,,,,,
9176077,19,Lupins,,,28.1,,,,11.3,,,,,,,,,,,
9176077,20,Canola (Control),,48.65,,,,,,,,,,,,,,,,
9176077,20,Lentils,,43.1,,,,,,,,,,,,,,,,
9176077,20,Field Peas,,89.7,,,,,,,,,,,,,,,,
9176077,20,Lupins,,13.75,,,,,,,,,,,,,,,,
9176077,20,Faba Beans,,13.325,,,,,,,,,,,,,,,,
9176077,21,Lentils,,91.8,,,,,,0.205,,,,,,,,,,
9176077,21,Lupins,,47.2,,,,,,0.195,,,,,,,,,,
9176077,21,chickpeas,,25.0,,,,,,0.18,,,,,,,,,,
9176077,21,Field Peas,,29.2,,,,,,0.215,,,,,,,,,,
9176077,22,Faba Beans (double seeded),,,,,,,,,,,,,,,,,,1703.0
9176077,22,Faba Beans,,,,,,,,,,,,,,,,,,1226.0
9176077,22,Lupins,,,,,,,,,,,,,,,,,,1948.0
9176077,22,Serradella,,,,,,,,,,,,,,,,,,1102.0
9176077,22,Vetch,,,,,,,,,,,,,,,,,,1362.0
9176077,23,Faba Beans (double seeded),,,,,,6.2,,,,,,,,,,,,
9176077,23,Jurien Lupins,,,,,,6.6,,,,,,,,,,,,
9176077,23,Eliza Serradella,,,,,,6.1,,,,,,,,,,,,
9176077,23,Timok Vetch,,,,,,5.06,,,,,,,,,,,,
9176077,23,Faba Beans,,,,,,6.2,,,,,,,,,,,,
9176077,24,Samira Faba Bean,,,,,,4.68,,,,,,,,,,,,
9176077,24,Jurien Lupin,,,,,,4.67,,,,,,,,,,,,
9176077,24,Bolt Lentil,,,,,,4.77,,,,,,,,,,,,
9176077,24,Striker Chickpea,,,,,,4.63,,,,,,,,,,,,
9176077,24,Field Peas,,,,,,4.86,,,,,,,,,,,,
9176077,25,Lentil,,,,,,,,,,,,,,,,,,1259.0
9176077,25,Lupin,,,,,,,,,,,,,,,,,,1230.0
9176077,25,Beans,,,,,,,,,,,,,,,,,,916.0
9176077,25,chickpeas,,,,,,,,,,,,,,,,,,999.0
